what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1487965065177
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1487965065178
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1487965065178
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1487965065178
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1487965065179
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1487965065180
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1487965065180
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1487965065203
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1487965065203
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1487965065222
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1487965065222
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1487965065223
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1487965065274
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1487965065283
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1487965065285
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1487965065285
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1487965065297
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1487965065298
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1487965065310
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1487965065311
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1487965065311
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1487965065312
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1487965065313
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1487965065314
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1487965065339
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1487965065340
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1487965065365
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1487965065365
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1487965065366
os,sysinfo,,,"win32",1487965065369
arch,sysinfo,,,"x86_64",1487965065369
ws,sysinfo,,,"win32",1487965065369
locale,sysinfo,,,"en_US",1487965065369
processors,sysinfo,,,"4",1487965065369
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487965065369
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1487965065369
java.specification.name,sysinfo,,,"Java Platform API Specification",1487965065369
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487965065369
java.specification.version,sysinfo,,,"1.6",1487965065369
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1487965065369
java.version,sysinfo,,,"1.6.0_23",1487965065369
java.vm.info,sysinfo,,,"mixed mode",1487965065369
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1487965065369
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487965065369
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487965065369
java.vm.specification.version,sysinfo,,,"1.0",1487965065369
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1487965065369
java.vm.version,sysinfo,,,"19.0-b09",1487965065369
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1487965065460
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1487965065495
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1487965065594
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1487965065641
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1487965066593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487965067117
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1487965067510
